EOS int,Mass,M_rem,Outcome Mass Cut
4,13.0,1.35915,0
4,15.0,1.51985,0
5,12.0,1.37836,0
4,27.0,1.56902,0
5,21.0,1.38681,0
4,38.0,1.50338,0
5,16.0,1.38428,0
4,28.0,1.53873,0
3,15.0,1.50933,0
3,24.0,1.79617,0
5,18.0,1.59768,0
4,14.0,1.51821,0
4,16.0,1.36588,0
4,19.0,1.58857,0
3,12.0,1.41579,0
3,30.0,1.80535,0
5,13.0,1.45723,0
4,31.0,1.7284,0
4,35.0,1.52561,0
4,16.0,1.40034,0
3,12.0,1.28749,0
4,31.0,1.4354,0
4,16.0,1.38607,0
3,11.0,1.36807,0
4,17.0,1.40452,0
4,11.0,1.29227,0
5,20.0,1.6539,0
4,19.0,1.5009,0
5,17.0,1.41621,0
4,34.0,1.61209,0
4,18.0,1.46285,0
5,30.0,1.55171,0
4,14.0,1.44707,0
4,12.0,1.37934,0
4,23.0,1.53055,0
5,28.0,1.53935,0
4,29.0,1.51985,0
4,14.0,1.50256,0
4,15.0,1.35663,0
5,22.0,1.67253,0
4,21.0,1.62344,0
4,36.0,1.54037,0
5,31.0,1.74098,0
4,40.0,1.63555,0
3,19.0,1.43215,0
4,12.0,1.29142,0
5,19.0,1.49965,0
4,21.0,1.37598,0
4,17.0,1.41706,0
5,29.0,1.51954,0
4,12.0,1.34059,0
5,14.0,1.51788,0
1,18.0,1.55198,0
1,22.0,1.47615,0
2,11.0,1.34536,0
2,22.0,1.47424,0
2,18.0,1.55665,0
4,11.0,1.36588,0
4,18.0,1.59344,0
4,13.0,1.40452,0
4,22.0,1.50173,0
4,30.0,1.55101,0
5,11.0,1.36569,0
5,18.0,1.59522,0
5,22.0,1.50298,0
1,33.0,12.294,1
1,34.0,12.453,1
1,35.0,13.181,1
1,36.0,13.883,1
3,14.0,1.49882,0
3,13.0,1.50691,0
3,21.0,6.753,1
4,20.0,1.45206,0
3,22.0,6.88,1
1,36.0,13.883,1
1,33.0,12.451,1
1,39.0,16.022,1
1,32.0,12.203,1
1,24.0,7.501,1
2,39.0,16.022,1
2,35.0,13.601,1
2,28.0,1.51051,0
2,37.0,13.623,1
2,40.0,16.517,1
2,38.0,15.162,1
2,34.0,13.081,1
2,36.0,13.883,1
2,32.0,12.203,1
2,25.0,7.776,1
3,36.0,13.883,1
3,40.0,15.291,1
3,39.0,15.002,1
3,35.0,13.181,1
3,37.0,13.893,1
3,38.0,14.473,1
3,34.0,12.453,1
4,39.0,16.022,1
4,26.0,8.293,1
4,32.0,12.203,1
4,24.0,7.501,1
4,37.0,13.623,1
4,38.0,15.162,1
4,33.0,12.451,1
4,35.0,13.601,1
4,40.0,16.517,1
4,25.0,7.776,1
4,34.0,13.081,1
4,36.0,13.883,1
5,39.0,16.022,1
5,33.0,12.451,1
5,32.0,12.203,1
5,37.0,13.623,1
5,25.0,7.776,1
5,34.0,13.081,1
5,35.0,13.601,1
5,26.0,8.293,1
5,36.0,13.883,1
5,38.0,15.162,1
5,40.0,16.517,1
5,24.0,7.501,1
